Timestamp,Gender ,Age,Do you own a business ?,Have you ever ordered online?,Do you think social media has influence on businesses ?,What is your business? ,What is the main platform that you use for your business?,How beneficial is social media for your business?
2/21/2023 21:21,Female,22,No,Yes,Yes,,,
2/21/2023 21:24,Female,19,No,Yes,Yes,,,
2/21/2023 21:30,Female,19,Yes,,,clothing,Instagram,4
2/21/2023 21:37,Male,17,Yes,,,food,Instagram,5
2/21/2023 21:49,Male,20,Yes,,,clothing,Instagram,5
2/21/2023 21:52,Male,18,No,No,Yes,,,
2/21/2023 22:01,Female,18,Yes,,,Education ,Instagram,4
2/21/2023 22:25,Male,16,No,Yes,Yes,,,
2/21/2023 22:25,Female,15,No,Yes,Yes,,,
2/21/2023 22:26,Male,19,No,Yes,Yes,,,
2/21/2023 22:30,Female,19,No,Yes,Yes,,,
2/21/2023 22:30,Male,19,Yes,,,Computer ,Instagram,2
2/21/2023 22:43,Male,21,No,Yes,Yes,,,
2/21/2023 22:44,Female,18,No,Yes,Yes,,,
2/21/2023 23:02,Female,18,No,Yes,Yes,,,
2/21/2023 23:09,Female,16,No,Yes,Yes,,,
2/21/2023 23:11,Female,15,No,Yes,Yes,,,
2/22/2023 8:40,Male,24,Yes,,,clothing,Instagram,1
2/22/2023 8:47,Female,22,No,No,No,,,
2/22/2023 8:49,Male,18,No,Yes,Yes,,,
2/22/2023 9:44,Male,19,No,Yes,Maybe,,,
2/22/2023 12:20,Female,20,No,Yes,Yes,,,
2/22/2023 12:21,Male,21,Yes,,,clothing,Instagram,3
2/22/2023 12:24,Female,21,No,No,Maybe,,,
2/22/2023 12:54,Female,17,No,Yes,Yes,,,
2/22/2023 13:38,Male,22,Yes,,,food,Instagram,4
2/22/2023 14:58,Female,20,No,Yes,Yes,,,
2/22/2023 15:01,Female,22,No,No,Yes,,,
2/22/2023 15:31,Female,16,No,Yes,Yes,,,
2/22/2023 15:42,Female,15,No,Yes,Yes,,,
2/22/2023 18:07,Female,23,Yes,,,clothing,Instagram,5
2/22/2023 18:12,Female,16,No,Yes,Yes,,,
2/22/2023 18:14,Female,27,Yes,,,skincare,Instagram,4
2/22/2023 18:16,Male,23,No,Yes,Yes,,,
2/22/2023 18:17,Male,26,Yes,,,Tourism,Instagram,5
2/22/2023 18:21,Female,29,No,Yes,Yes,,,
2/22/2023 18:22,Female,22,No,Yes,Yes,,,
2/22/2023 18:22,Female,21,No,Yes,Yes,,,
2/22/2023 18:23,Female,25,No,Yes,Yes,,,
2/22/2023 18:30,Female,25,No,Yes,Yes,,,
2/22/2023 18:33,Male,25,No,Yes,Yes,,,
2/22/2023 18:33,Male,23,Yes,,,clothing,Instagram,5
2/22/2023 19:24,Male,24,No,Yes,Yes,,,
2/22/2023 19:48,Female,24,No,No,Yes,,,
2/22/2023 19:53,Female,26,No,No,Maybe,,,
2/22/2023 19:57,Male,23,Yes,,,Real estate,Facebook,4
2/22/2023 20:02,Female,19,No,Yes,Yes,,,
2/22/2023 20:05,Female,18,No,Yes,Yes,,,
2/22/2023 20:15,Female,20,No,Yes,Yes,,,
2/22/2023 20:16,Male,16,No,Yes,Yes,,,
2/22/2023 20:17,Female,21,No,Yes,Yes,,,
2/22/2023 20:22,Female,19,No,Yes,Yes,,,
2/22/2023 20:30,Male,22,Yes,,,Gaming,Instagram,5
2/22/2023 20:44,Male,21,No,Yes,Yes,,,
2/22/2023 22:14,Female,15,No,Yes,Yes,,,
2/22/2023 22:25,Female,22,No,Yes,Yes,,,
2/22/2023 22:42,Male,30,No,Yes,Yes,,,
2/23/2023 12:16,Male,20,No,Yes,Yes,,,
2/23/2023 22:18,Female,21,No,Yes,Yes,,,
2/23/2023 22:18,Male,25,No,No,Yes,,,
2/23/2023 22:18,Female,19,No,No,Maybe,,,
2/23/2023 22:19,Female,20,Yes,,,clothing,Instagram,3
2/23/2023 22:28,Male,16,No,No,Yes,,,
2/23/2023 22:33,Female,20,No,No,Yes,,,
2/23/2023 22:36,Male,19,No,No,Maybe,,,
2/23/2023 22:37,Male,20,No,Yes,Maybe,,,
2/24/2023 13:25,Male,28,No,Yes,Yes,,,
2/24/2023 17:21,Female,21,No,Yes,Yes,,,
2/24/2023 19:48,Male,16,No,Yes,Yes,,,
2/24/2023 20:38,Female,18,No,No,Yes,,,
2/24/2023 20:54,Male,20,No,No,Maybe,,,
2/24/2023 21:15,Male,15,Yes,,,Graphic design,Facebook,5
2/24/2023 21:37,Male,20,No,Yes,Yes,,,
2/24/2023 22:14,Male,18,No,Yes,Yes,,,
2/25/2023 0:17,Male,26,Yes,,,Art business  ,Facebook,4
2/25/2023 9:12,Male,21,No,Yes,Yes,,,
2/25/2023 13:06,Male,26,No,Yes,Yes,,,
2/25/2023 13:08,Male,27,No,Yes,Yes,,,
2/25/2023 13:53,Male,18,No,No,Maybe,,,
2/25/2023 15:14,Female,24,No,Yes,Yes,,,
2/26/2023 22:19,Male,24,No,Yes,Yes,,,
2/27/2023 19:23,Male,23,No,Yes,Yes,,,
2/28/2023 21:31,Male,17,No,No,Yes,,,
3/1/2023 19:12,Female,27,No,No,Maybe,,,
3/1/2023 19:16,Male,20,Yes,,,clothing,TikTok,3
3/3/2023 20:43,Female,18,No,Yes,Yes,,,
3/3/2023 20:43,Female,19,No,Yes,Yes,,,
3/3/2023 20:44,Male,20,Yes,,,food,Instagram,4
3/3/2023 20:44,Female,25,Yes,,,skincare,TikTok,3
3/3/2023 20:44,Female,23,Yes,,,food,Instagram,3
3/3/2023 20:45,Female,20,No,Yes,Yes,,,
3/3/2023 20:45,Male,20,No,No,Yes,,,
3/3/2023 20:45,Male,27,Yes,,,antiques,Instagram,3
3/3/2023 20:46,Male,22,Yes,,,Education ,website,4
3/3/2023 20:46,Female,21,No,Yes,Maybe,,,
3/3/2023 20:46,Male,27,Yes,,,clothing,Snapchat,4
3/3/2023 20:46,Male,30,Yes,,,jewelry,TikTok,5
